Société,Ticker,Business_models
ASML Holding N.V.,ASML.AS,"ASML détient un quasi-monopole (>90% de parts de marché) dans les machines de lithographie EUV, essentielles pour produire les semi-conducteurs les plus avancés. Les revenus proviennent des ventes de systèmes (71%), des services/mise à niveau (29%), avec une marge brute d'environ 50%. Géographiquement, l'Asie domine avec Taiwan (41%) et la Corée du Sud (25%), suivis par la Chine (15%) et les États-Unis (10%). Le modèle économique repose sur des relations clients très étroites (TSMC, Samsung, Intel) et d'importants investissements R&D (4 milliards €/an) créant des barrières à l'entrée considérables.
Risque principal : La forte dépendance aux tensions géopolitiques entre la Chine et l'Occident, avec des restrictions potentielles sur les exportations de technologies avancées qui pourraient impacter significativement les ventes."
AT&T,T,"AT&T est l’un des principaux opérateurs télécoms aux États-Unis, recentré sur la connectivité depuis la scission de WarnerMedia en 2022. En 2024, son chiffre d’affaires provient à 70 % des services sans fil, avec 72 millions de clients postpayés et 17 millions de clients prépayés, soutenus par un réseau 5G couvrant 290 millions d’Américains. La connectivité fixe représente 30 % des revenus, incluant 14 millions d’abonnés à l’Internet haut débit résidentiel et des services filaires aux entreprises (15 % du total). Son activité internationale reste marginale, avec 4 % des revenus issus du Mexique, où elle dessert 23 millions de clients.
AT&T mise sur un modèle récurrent d’abonnements, assurant une certaine stabilité financière. Le groupe accélère l’expansion de la fibre optique, visant 50 millions de foyers couverts d’ici 2029, et intègre l’IA pour améliorer l’efficacité opérationnelle et réduire les coûts.
Risque principal : AT&T fait face à une forte concurrence de Verizon et T-Mobile, pesant sur ses marges. Son endettement élevé (120 milliards $ en 2024) limite sa flexibilité financière et sa capacité d’investissement."
Adobe Inc.,ADBE,"Adobe domine le marché des logiciels créatifs avec un modèle basé sur l’abonnement et une forte présence dans le cloud. Son chiffre d’affaires repose sur trois divisions : Digital Media, qui représente 74 % des revenus avec Creative Cloud et Document Cloud, Digital Experience, qui génère 25 % via des solutions pour les entreprises, et une part marginale issue d’autres activités.
L’entreprise réalise 60 % de son chiffre d’affaires en Amérique du Nord, 26 % en Europe et Moyen-Orient-Afrique, et 14 % en Asie-Pacifique. Son succès repose sur des revenus récurrents, une position dominante avec des logiciels incontournables comme Photoshop et Illustrator, et une forte intégration de l’intelligence artificielle, notamment via Firefly.
Risque principal : La montée en puissance d’alternatives moins coûteuses, comme Canva ou DaVinci Resolve, et les défis réglementaires liés à l’IA pourraient fragiliser sa position sur certains segments."
Aercap Holdings N.V.,AER,"AerCap est le plus important opérateur du leasing d’avions commerciaux, avec un modèle économique fondé sur l’acquisition et la location longue durée d’appareils. Ses revenus proviennent majoritairement de la location d’avions (85 %), complétés par la vente d’appareils (10 %) et les services de maintenance et autres activités (5 %). L’entreprise opère dans le monde entier, avec une répartition géographique équilibrée : 30 % des revenus en Europe, 28 % en Asie-Pacifique, 24 % en Amérique du Nord et 18 % dans le reste du monde.
Ses principaux atouts résident dans une flotte moderne de plus de 1 700 appareils, des contrats de location à long terme garantissant des flux de trésorerie stables, ainsi qu’une large diversification de sa clientèle, avec plus de 300 compagnies aériennes dans 80 pays. Son poids sur le marché lui permet également d’obtenir des conditions avantageuses auprès des constructeurs comme Airbus et Boeing.
Risque principal : L’entreprise reste exposée aux cycles économiques et aux crises du transport aérien, qui peuvent affecter la demande pour ses appareils. Son niveau d’endettement élevé et sa dépendance aux conditions de financement, notamment aux taux d’intérêt, constituent également des risques, tout comme les litiges en cours, notamment sur les avions bloqués en Russie."
Air Products & Chemicals Inc.,APD,"Air Products est l’un des leaders mondiaux des gaz industriels, avec un modèle économique reposant sur des contrats à long terme et une forte présence dans la transition énergétique. L’entreprise génère ses revenus principalement en Amérique (41 %), suivie par l’Asie (26 %), l’Europe (23 %) et le Moyen-Orient/Inde (1 %). Son activité se divise entre la fourniture de gaz industriels essentiels (oxygène, azote, hydrogène), les équipements de production et de stockage, ainsi que les solutions pour l’hydrogène propre.
Grâce à ses contrats de 15 à 20 ans avec des industries stratégiques, Air Products bénéficie de revenus stables et prévisibles. Son réseau de pipelines et d’usines lui confère une forte présence sur le marché, tandis que son leadership dans l’hydrogène bas-carbone renforce son rôle dans la transition énergétique.
Risque principal : L’entreprise est confrontée à des défis liés aux investissements massifs nécessaires pour développer l’hydrogène propre et à la dépendance aux cycles industriels, notamment dans la sidérurgie et la pétrochimie, ce qui peut affecter sa rentabilité à long terme."
Alphabet Inc. (Class A),GOOGL,"Alphabet Inc., maison mère de Google, repose sur un modèle solide, diversifié et en croissance. La publicité en ligne représente 72 % de ses revenus, portée par Google Search et YouTube. Google Cloud connaît une forte expansion, atteignant 12 % du chiffre d’affaires en 2024, grâce à la demande en solutions cloud.
L’entreprise se diversifie progressivement avec des abonnements (YouTube Premium, Google One), des appareils (Pixel, Nest) et des projets innovants (Waymo, DeepMind), réduisant ainsi sa dépendance à la publicité. Son empreinte géographique est équilibrée, avec 49 % des revenus aux États-Unis, 29 % en Europe et 16 % en Asie-Pacifique.
L’innovation reste un moteur clé, notamment dans l’intelligence artificielle. 
Risque princcipal : Alphabet reste exposé aux risques réglementaires et à la concurrence, tandis que les coûts élevés du cloud et de l’IA pèsent sur sa rentabilité. "
Amazon.com Inc.,AMZN,"Amazon est un acteur incontournable du commerce en ligne, du cloud computing et de la publicité numérique. Son modèle économique repose sur plusieurs piliers stratégiques. Le e-commerce représente environ 45 % des revenus, avec une domination en Amérique du Nord où Amazon détient 61 % de part de marché. L’abonnement Prime renforce la fidélisation des clients et stimule les ventes. AWS (Amazon Web Services), leader du cloud computing, génère 17 % des revenus mais contribue à plus de 70 % des profits, affichant une croissance rapide (+19 % sur un an). La publicité, en plein essor, représente environ 8 % des revenus, tandis que d’autres services comme Prime Video, Alexa et les magasins Whole Foods complètent l’offre.
L’entreprise bénéficie d’une forte diversification et d’une présence géographique équilibrée, avec 61 % des revenus en Amérique du Nord, 23 % à l’international et 17 % via AWS. Cette répartition lui permet d’atténuer les risques liés à une seule région ou activité. Son investissement massif dans l’innovation et l’intelligence artificielle renforce son avantage compétitif, notamment dans l’optimisation logistique et le cloud.
Risque principal :  Amazon fait face à plusieurs risques majeurs. Son activité e-commerce, très capitalistique, affiche des marges réduites, tandis que la concurrence dans le cloud computing s’intensifie avec Microsoft Azure et Google Cloud. De plus, l’entreprise est soumise à une pression réglementaire croissante sur ses pratiques commerciales et ses activités publicitaires, pouvant impacter sa rentabilité et son expansion."
Bank of America Corp.,BAC,"Bank of America combine diversification, innovation et solidité financière. Son modèle demeure attractif pour les investisseurs grâce à une rentabilité élevée et une politique de retour aux actionnaires. C’est l'une des principales banques américaines, avec un modèle économique reposant sur quatre divisions clés. Consumer Banking représente 35 % des revenus et inclut les services aux particuliers, les cartes de crédit et les prêts. Cette division gère plus de 4 100 agences et 16 000 guichets automatiques. Global Banking génère 25 % des revenus en proposant des services aux entreprises et de gestion de trésorerie, couvrant 75 % des entreprises du Fortune 500. Global Markets contribue à hauteur de 20 %, avec une forte présence en trading et marchés des capitaux, notamment en actions et obligations. Wealth Management représente 20 % des revenus, via Merrill, avec 3 000 milliards de dollars d’actifs sous gestion.
La banque génère 85 % de ses revenus aux États-Unis et détient 16 % du marché des dépôts de détail. Elle bénéficie d'une forte adoption numérique avec 55 millions d’utilisateurs et détient plus de 5 000 brevets dans les paiements mobiles, la cybersécurité et l’intelligence artificielle.
Risque principal : Bank of America est sensible aux taux d’intérêt et aux cycles économiques. Elle fait face à une réglementation accrue après les crises bancaires récentes, ainsi qu’à une concurrence croissante des fintechs et néobanques sur les services numériques."
BioMérieux SA,BIM.PA,"BioMérieux est un leader mondial du diagnostic in vitro, spécialisé dans la microbiologie, la biologie moléculaire, les immunoessais et les applications industrielles. 
BioMérieux a réalisé un chiffre d'affaires de 3,7 milliards d'euros en 2023, soit une augmentation de 40 % par rapport à 2019. Le résultat opérationnel courant avant éléments non récurrents (CEBIT) s'est élevé à 610 millions d'euros, soit une augmentation de 50 % par rapport à 2019.   
Innovation continue : la société investit 12 % de son chiffre d'affaires dans la recherche et le développement. Elle dispose d'un solide portefeuille de produits innovants, tels que les panels non respiratoires BIOFIRE, le système SPOTFIRE et la plateforme VITEK.   Forte présence internationale : BioMérieux réalise 44 % de son chiffre d'affaires en Amérique du Nord, 32 % en Europe, au Moyen-Orient et en Afrique, 17 % en Asie-Pacifique et 6 % en Amérique latine. 
Risque principal : Concurrence accrue sur le marché du diagnostic in vitro. Tout ralentissement de la croissance de ce marché pourrait avoir un impact négatif sur les résultats de BioMérieux.   "
Bureau Veritas SA,BVI.PA,"Bureau Veritas est un leader mondial des services de Test, Inspection et Certification (TIC), avec un modèle économique diversifié et résilient. L’entreprise structure son activité autour de quatre pôles majeurs :
Industrie & Infrastructures (54 % du CA) : Comprend la construction (21 %), l’industrie (20 %), la certification (7 %) et la santé-sécurité-environnement (HSE, 6 %).
Biens de consommation (20 %) : Tests et certifications pour garantir la conformité des produits vendus à travers le monde.
Agroalimentaire & Matières premières (18 %) : Sécurisation de la chaîne alimentaire et analyse des matières premières.
Marine & Offshore (8 %) : Inspection et classification des navires et plateformes offshore.
L’entreprise bénéficie d’une forte diversification sectorielle et géographique, avec une répartition équilibrée de son chiffre d’affaires entre l’Europe (33 %, dont 14 % en France), l’Asie-Pacifique (31 %), les Amériques (25 %) et l’Afrique/Moyen-Orient (11 %). Cette implantation mondiale lui permet d’atténuer les risques économiques locaux et de capter la demande croissante liée aux réglementations internationales. Bureau Veritas se distingue par une forte récurrence des revenus (80 % de contrats renouvelables) et des marges opérationnelles solides (~15 %).
Principaux risques : Dépendance aux cycles économiques industriels, qui peuvent impacter la demande en certifications et inspections. Concurrence accrue sur le marché des TIC, pouvant peser sur la croissance organique. Risque réputationnel : une faille dans la qualité des certifications pourrait affecter la confiance des clients et impacter significativement l’activité."
